project_id,snapshot_date,pending_parcels,completed_parcels,average_stage_days,sla_breaches,compensation_pending,rr_pending,possession_pending,processing_rate,pending_trend,rate_trend,elevated_risk_next_30d,data_source
PRJ-001,2024-06-01,26,23,38.1,10,6.0,9,3,0.17,0,0.0,0,synthetic
PRJ-001,2024-06-16,23,26,79.8,11,15.0,7,4,0.169,-3,-0.0010000000000000009,0,synthetic
PRJ-001,2024-07-01,20,29,35.3,10,13.0,6,4,0.202,-3,0.033,0,synthetic
PRJ-001,2024-07-16,17,32,36.3,4,7.0,4,2,0.191,-3,-0.01100000000000001,0,synthetic
PRJ-001,2024-07-31,14,35,78.7,3,7.0,4,2,0.204,-3,0.012999999999999984,0,synthetic
PRJ-001,2024-08-15,12,37,60.0,6,5.0,4,3,0.23,-2,0.026000000000000023,0,synthetic
PRJ-001,2024-08-30,9,40,67.4,2,3.0,3,1,0.235,-3,0.004999999999999977,0,synthetic
PRJ-001,2024-09-14,7,42,59.3,3,2.0,2,1,0.207,-2,-0.027999999999999997,0,synthetic
PRJ-001,2024-09-29,4,45,76.5,1,2.0,0,1,0.184,-3,-0.022999999999999993,0,synthetic
PRJ-001,2024-10-14,2,47,28.4,1,0.0,0,0,0.167,-2,-0.016999999999999987,0,synthetic
PRJ-001,2024-10-29,2,47,,0,1.0,0,0,0.19,0,0.022999999999999993,0,synthetic
PRJ-001,2024-11-13,2,47,53.3,0,0.0,0,0,0.213,0,0.022999999999999993,0,synthetic
PRJ-001,2024-11-28,2,47,37.8,0,1.0,0,0,0.225,0,0.01200000000000001,0,synthetic
PRJ-001,2024-12-13,2,47,47.9,0,1.0,0,0,0.225,0,0.0,0,synthetic
PRJ-001,2024-12-28,2,47,26.3,0,0.0,0,0,0.256,0,0.031,0,synthetic
PRJ-001,2025-01-12,2,47,49.7,1,1.0,0,0,0.266,0,0.010000000000000009,0,synthetic
PRJ-001,2025-01-27,2,47,47.7,0,0.0,0,0,0.252,0,-0.014000000000000012,0,synthetic
PRJ-001,2025-02-11,2,47,73.9,0,0.0,0,0,0.262,0,0.010000000000000009,0,synthetic
PRJ-001,2025-02-26,2,47,25.3,0,0.0,0,0,0.242,0,-0.020000000000000018,0,synthetic
PRJ-001,2025-03-13,2,47,39.3,0,0.0,0,0,0.24,0,-0.0020000000000000018,0,synthetic
PRJ-001,2025-03-28,2,47,19.7,0,0.0,0,0,0.224,0,-0.015999999999999986,0,synthetic
PRJ-001,2025-04-12,2,47,40.6,0,,0,0,0.203,0,-0.02099999999999999,0,synthetic
PRJ-001,2025-04-27,2,47,82.3,0,0.0,0,0,0.236,0,0.032999999999999974,0,synthetic
PRJ-001,2025-05-12,2,47,30.2,1,0.0,0,0,0.247,0,0.01100000000000001,0,synthetic
PRJ-001,2025-05-27,2,47,88.1,0,0.0,0,0,0.268,0,0.02100000000000002,0,synthetic
PRJ-001,2025-06-11,2,47,32.0,0,0.0,0,0,0.271,0,0.0030000000000000027,0,synthetic
PRJ-001,2025-06-26,2,47,45.3,0,0.0,0,0,0.273,0,0.0020000000000000018,0,synthetic
PRJ-001,2025-07-11,2,47,42.0,0,0.0,0,0,0.275,0,0.0020000000000000018,0,synthetic
PRJ-001,2025-07-26,2,47,15.2,0,1.0,0,0,0.268,0,-0.007000000000000006,0,synthetic
PRJ-003,2024-06-01,54,29,34.7,21,34.0,21,5,0.097,0,0.0,0,synthetic
PRJ-003,2024-06-16,55,28,78.3,23,21.0,10,6,0.097,1,0.0,0,synthetic
PRJ-003,2024-07-01,56,27,71.4,30,31.0,20,5,0.103,1,0.0059999999999999915,0,synthetic
