parcel_id,project_id,assessed_amount,approved_amount,paid_amount,payment_date,payment_status,data_source
PCL-16B80E95,PRJ-001,1311213.6,1118361.99,1118361.99,2024-11-25,paid,synthetic
PCL-6172EB1D,PRJ-001,4217816.08,3643863.57,0.0,,pending,synthetic
PCL-2545E1FA,PRJ-001,2349105.25,2063584.21,2063584.21,2024-03-28,paid,synthetic
PCL-384AB48E,PRJ-001,2307544.16,2254924.88,1127462.44,2024-08-26,partial,synthetic
PCL-C5969CE4,PRJ-001,810917.63,750880.38,0.0,,pending,synthetic
PCL-6ABCDEAC,PRJ-001,2592077.06,2467232.42,0.0,,pending,synthetic
PCL-E099DF44,PRJ-001,2683214.68,2452653.63,2452653.63,2025-04-14,paid,synthetic
PCL-F5EC4A39,PRJ-001,3028184.2,2853769.14,2853769.14,2024-05-15,paid,synthetic
PCL-E6F86E02,PRJ-001,2173623.52,1899280.63,1899280.63,2024-07-27,paid,synthetic
PCL-F7865182,PRJ-001,3918422.6,3596774.47,1798387.24,2024-06-20,partial,synthetic
PCL-9370DE1B,PRJ-001,3954345.06,3559355.16,3559355.16,2024-11-10,paid,synthetic
PCL-F6606B58,PRJ-001,1240328.83,1080992.22,1080992.22,2024-09-02,paid,synthetic
PCL-08E8E283,PRJ-001,3313511.78,2950336.08,1475168.04,2024-06-27,partial,synthetic
PCL-D863F07F,PRJ-001,4215435.03,3920582.62,0.0,,pending,synthetic
PCL-50D889F4,PRJ-001,1945802.66,1920110.62,1920110.62,2024-09-10,paid,synthetic
PCL-04A141FA,PRJ-001,2363688.32,2272697.38,2272697.38,2024-11-01,paid,synthetic
PCL-85ED9B4E,PRJ-001,2355382.92,2067821.39,1033910.7,2024-07-06,partial,synthetic
PCL-268F1F65,PRJ-001,3813392.62,3612072.07,3612072.07,2025-04-17,paid,synthetic
PCL-6F2D780C,PRJ-001,2543890.1,2344801.43,0.0,,pending,synthetic
PCL-3351F300,PRJ-001,4619763.52,4173376.62,4173376.62,2024-09-25,paid,synthetic
PCL-42E866A4,PRJ-001,4784789.66,4573886.39,0.0,,pending,synthetic
PCL-0F8B8BCD,PRJ-001,1809670.89,1752832.8,1752832.8,2025-03-02,paid,synthetic
PCL-C2888411,PRJ-001,1009029.7,904758.02,0.0,,pending,synthetic
PCL-FDAC518A,PRJ-001,2756906.96,2640447.43,0.0,,pending,synthetic
PCL-E63E6F7B,PRJ-001,2811068.7,2657890.66,2657890.66,2024-03-09,paid,synthetic
PCL-14B1802B,PRJ-003,3216769.46,3023594.46,0.0,,pending,synthetic
PCL-ECBEFC6C,PRJ-003,3305734.72,2998052.07,0.0,,pending,synthetic
PCL-DF87F07E,PRJ-003,1506373.16,1333356.07,1333356.07,2024-04-22,paid,synthetic
PCL-8C9B3239,PRJ-003,1216617.29,1138540.15,1138540.15,2024-06-11,paid,synthetic
PCL-E7E50417,PRJ-003,1526524.67,1373116.8,1373116.8,2024-09-28,paid,synthetic
PCL-85B41F80,PRJ-003,3143454.01,2879759.39,0.0,,pending,synthetic
PCL-C2DE6A21,PRJ-003,1626656.96,1463295.57,731647.78,2025-04-05,partial,synthetic
PCL-6C872F28,PRJ-003,4276797.85,3746482.42,0.0,,pending,synthetic
PCL-106E7493,PRJ-003,1018454.1,917426.78,917426.78,2024-12-07,paid,synthetic
PCL-E89046EE,PRJ-003,4375543.66,3758098.94,3758098.94,2024-03-09,paid,synthetic
PCL-D1D220CE,PRJ-003,833706.41,813742.65,813742.65,2025-02-06,paid,synthetic
PCL-15173601,PRJ-003,2913859.65,2516522.04,2516522.04,2025-03-13,paid,synthetic
PCL-641AAD6E,PRJ-003,2533452.24,2443171.58,1221585.79,2024-10-12,partial,synthetic
PCL-2EF0EE05,PRJ-003,2595283.96,2591487.17,1295743.58,2025-03-19,partial,synthetic
PCL-FF7F422A,PRJ-003,4105748.26,3565747.81,3565747.81,2024-09-11,paid,synthetic
PCL-097A2F86,PRJ-003,3168029.13,3147075.97,3147075.97,2024-08-15,paid,synthetic
PCL-8C1ED904,PRJ-003,3538949.38,3434922.72,0.0,,pending,synthetic
PCL-F447DE4C,PRJ-003,3703570.13,3648126.86,3648126.86,2024-09-23,paid,synthetic
PCL-9E3CB5E6,PRJ-003,3281894.36,2935109.34,0.0,,pending,synthetic
PCL-D9FD6633,PRJ-003,3183946.75,2758551.46,1379275.73,2024-07-15,partial,synthetic
PCL-6EF7C14E,PRJ-003,3575039.12,3071111.14,3071111.14,2024-09-15,paid,synthetic
PCL-76DCDB12,PRJ-003,1209579.66,1189898.5,1189898.5,2024-11-04,paid,synthetic
PCL-C47373CD,PRJ-003,916990.27,846645.38,423322.69,2024-05-01,partial,synthetic
PCL-82BB01E0,PRJ-003,666052.96,600665.99,0.0,,pending,synthetic
PCL-FAB9FDA1,PRJ-003,4522222.63,4161892.31,4161892.31,2025-03-01,paid,synthetic
PCL-E41CCD38,PRJ-003,4434571.99,3830828.95,0.0,,pending,synthetic
PCL-7AA859A1,PRJ-003,4205831.56,3863913.27,1931956.64,2024-07-16,partial,synthetic
