parcel_id,project_id,dispute_type,dispute_status,case_date,days_pending,administrative_impact,data_source
PCL-CDE105B5,PRJ-001,boundary_dispute,under_review,2024-08-24,373,blocks_possession,synthetic
PCL-8437B3A1,PRJ-001,inheritance,resolved,2024-10-29,307,blocks_payment,synthetic
PCL-85ED9B4E,PRJ-001,compensation_amount,open,2025-01-06,238,blocks_payment,synthetic
PCL-9FA8D992,PRJ-003,boundary_dispute,under_review,2024-06-08,450,blocks_possession,synthetic
PCL-129A9C88,PRJ-003,inheritance,open,2024-02-02,577,blocks_payment,synthetic
PCL-6C872F28,PRJ-003,inheritance,open,2024-01-09,601,informational,synthetic
PCL-203FED36,PRJ-003,boundary_dispute,resolved,2024-11-15,290,blocks_payment,synthetic
PCL-7AA859A1,PRJ-003,boundary_dispute,resolved,2024-11-01,304,blocks_payment,synthetic
PCL-25399CFD,PRJ-003,compensation_amount,under_review,2024-06-04,454,blocks_possession,synthetic
PCL-F9179A23,PRJ-003,compensation_amount,under_review,2024-06-11,447,blocks_payment,synthetic
PCL-DD079ED0,PRJ-003,boundary_dispute,resolved,2025-01-27,217,informational,synthetic
PCL-6EA45ED5,PRJ-003,boundary_dispute,under_review,2024-03-11,539,informational,synthetic
PCL-E6F8D01D,PRJ-005,compensation_amount,open,2024-06-14,444,blocks_payment,synthetic
PCL-E52FA465,PRJ-005,ownership_claim,open,2024-07-18,410,blocks_possession,synthetic
PCL-912088F3,PRJ-005,compensation_amount,under_review,2024-10-24,312,blocks_payment,synthetic
PCL-7CB89A58,PRJ-005,boundary_dispute,under_review,2024-01-15,595,blocks_possession,synthetic
PCL-13E89CCF,PRJ-005,compensation_amount,open,2024-02-15,564,blocks_payment,synthetic
PCL-0F21DB29,PRJ-005,ownership_claim,resolved,2024-11-19,286,blocks_payment,synthetic
PCL-864E275D,PRJ-005,inheritance,open,2024-03-25,525,blocks_payment,synthetic
PCL-3AC9BB48,PRJ-005,ownership_claim,open,2024-07-17,411,informational,synthetic
PCL-CCFBB8D2,PRJ-005,boundary_dispute,open,2024-11-14,291,blocks_payment,synthetic
PCL-FB0BFA8A,PRJ-005,inheritance,resolved,2024-10-02,334,blocks_payment,synthetic
PCL-FEAB1B0B,PRJ-005,compensation_amount,open,2025-01-14,230,blocks_payment,synthetic
PCL-758153DD,PRJ-005,ownership_claim,under_review,2024-03-12,538,informational,synthetic
