parcel_id,project_id,stage,stage_order,stage_start_date,stage_target_date,stage_completion_date,days_in_stage,sla_days,sla_breach,is_current_stage,data_source
PCL-478A5E15,PRJ-001,Land Identification,0,2024-01-26,2024-02-10,2024-02-09,14,15,0,0,synthetic
PCL-478A5E15,PRJ-001,Survey/Parcel Mapping,1,2024-02-09,2024-03-10,2024-03-13,33,30,1,0,synthetic
PCL-478A5E15,PRJ-001,Ownership Verification,2,2024-03-13,2024-04-27,2024-04-14,32,45,0,0,synthetic
PCL-478A5E15,PRJ-001,Notification,3,2024-04-14,2024-05-04,2024-04-29,15,20,0,0,synthetic
PCL-478A5E15,PRJ-001,Objections/Hearings,4,2024-04-29,2024-05-29,,490,30,1,1,synthetic
PCL-16B80E95,PRJ-001,Land Identification,0,2024-02-09,2024-02-24,2024-02-20,11,15,0,0,synthetic
PCL-16B80E95,PRJ-001,Survey/Parcel Mapping,1,2024-02-20,2024-03-21,2024-03-17,26,30,0,0,synthetic
PCL-16B80E95,PRJ-001,Ownership Verification,2,2024-03-17,2024-05-01,2024-05-13,57,45,1,0,synthetic
PCL-16B80E95,PRJ-001,Notification,3,2024-05-13,2024-06-02,2024-06-14,32,20,1,0,synthetic
PCL-16B80E95,PRJ-001,Objections/Hearings,4,2024-06-14,2024-07-14,2024-07-06,22,30,0,0,synthetic
PCL-16B80E95,PRJ-001,Compensation Assessment,5,2024-07-06,2024-08-15,2024-09-01,57,40,1,0,synthetic
PCL-16B80E95,PRJ-001,Compensation Disbursement,6,2024-09-01,2024-10-01,2024-10-12,41,30,1,0,synthetic
PCL-16B80E95,PRJ-001,Rehabilitation & Resettlement,7,2024-10-12,2024-12-11,2024-12-22,71,60,1,0,synthetic
PCL-16B80E95,PRJ-001,Possession,8,2024-12-22,2025-01-06,,253,15,1,1,synthetic
PCL-6172EB1D,PRJ-001,Land Identification,0,2024-02-23,2024-03-09,2024-03-12,18,15,1,0,synthetic
PCL-6172EB1D,PRJ-001,Survey/Parcel Mapping,1,2024-03-12,2024-04-11,2024-04-07,26,30,0,0,synthetic
PCL-6172EB1D,PRJ-001,Ownership Verification,2,2024-04-07,2024-05-22,2024-05-29,52,45,1,0,synthetic
PCL-6172EB1D,PRJ-001,Notification,3,2024-05-29,2024-06-18,2024-06-14,16,20,0,0,synthetic
PCL-6172EB1D,PRJ-001,Objections/Hearings,4,2024-06-14,2024-07-14,2024-07-13,29,30,0,0,synthetic
PCL-6172EB1D,PRJ-001,Compensation Assessment,5,2024-07-13,2024-08-22,2024-08-31,49,40,1,0,synthetic
PCL-6172EB1D,PRJ-001,Compensation Disbursement,6,2024-08-31,2024-09-30,2024-09-18,18,30,0,0,synthetic
PCL-6172EB1D,PRJ-001,Rehabilitation & Resettlement,7,2024-09-18,2024-11-17,,348,60,1,1,synthetic
PCL-D20A6003,PRJ-001,Land Identification,0,2024-03-05,2024-03-20,2024-04-04,30,15,1,0,synthetic
PCL-D20A6003,PRJ-001,Survey/Parcel Mapping,1,2024-04-04,2024-05-04,,515,30,1,1,synthetic
PCL-2545E1FA,PRJ-001,Land Identification,0,2024-01-24,2024-02-08,2024-02-10,17,15,1,0,synthetic
PCL-2545E1FA,PRJ-001,Survey/Parcel Mapping,1,2024-02-10,2024-03-11,2024-03-16,35,30,1,0,synthetic
PCL-2545E1FA,PRJ-001,Ownership Verification,2,2024-03-16,2024-04-30,2024-05-10,55,45,1,0,synthetic
PCL-2545E1FA,PRJ-001,Notification,3,2024-05-10,2024-05-30,2024-05-21,11,20,0,0,synthetic
PCL-2545E1FA,PRJ-001,Objections/Hearings,4,2024-05-21,2024-06-20,2024-06-16,26,30,0,0,synthetic
PCL-2545E1FA,PRJ-001,Compensation Assessment,5,2024-06-16,2024-07-26,2024-07-09,23,40,0,0,synthetic
PCL-2545E1FA,PRJ-001,Compensation Disbursement,6,2024-07-09,2024-08-08,2024-08-22,44,30,1,0,synthetic
PCL-2545E1FA,PRJ-001,Rehabilitation & Resettlement,7,2024-08-22,2024-10-21,,375,60,1,1,synthetic
PCL-433F9D13,PRJ-001,Land Identification,0,2024-01-28,2024-02-12,2024-02-09,12,15,0,0,synthetic
PCL-433F9D13,PRJ-001,Survey/Parcel Mapping,1,2024-02-09,2024-03-10,2024-03-28,48,30,1,0,synthetic
PCL-433F9D13,PRJ-001,Ownership Verification,2,2024-03-28,2024-05-12,2024-05-05,38,45,0,0,synthetic
PCL-433F9D13,PRJ-001,Notification,3,2024-05-05,2024-05-25,,484,20,1,1,synthetic
PCL-D3DD29A3,PRJ-001,Land Identification,0,2024-01-19,2024-02-03,2024-01-25,6,15,0,0,synthetic
PCL-D3DD29A3,PRJ-001,Survey/Parcel Mapping,1,2024-01-25,2024-02-24,2024-03-01,36,30,1,0,synthetic
PCL-D3DD29A3,PRJ-001,Ownership Verification,2,2024-03-01,2024-04-15,,549,45,1,1,synthetic
PCL-1DED8285,PRJ-001,Land Identification,0,2024-02-23,2024-03-09,2024-03-20,26,15,1,0,synthetic
PCL-1DED8285,PRJ-001,Survey/Parcel Mapping,1,2024-03-20,2024-04-19,2024-04-23,34,30,1,0,synthetic
PCL-1DED8285,PRJ-001,Ownership Verification,2,2024-04-23,2024-06-07,2024-05-26,33,45,0,0,synthetic
PCL-1DED8285,PRJ-001,Notification,3,2024-05-26,2024-06-15,2024-06-22,27,20,1,0,synthetic
PCL-1DED8285,PRJ-001,Objections/Hearings,4,2024-06-22,2024-07-22,,436,30,1,1,synthetic
PCL-384AB48E,PRJ-001,Land Identification,0,2024-02-13,2024-02-28,2024-03-05,21,15,1,0,synthetic
PCL-384AB48E,PRJ-001,Survey/Parcel Mapping,1,2024-03-05,2024-04-04,2024-04-17,43,30,1,0,synthetic
PCL-384AB48E,PRJ-001,Ownership Verification,2,2024-04-17,2024-06-01,2024-06-02,46,45,1,0,synthetic
PCL-384AB48E,PRJ-001,Notification,3,2024-06-02,2024-06-22,2024-06-30,28,20,1,0,synthetic
PCL-384AB48E,PRJ-001,Objections/Hearings,4,2024-06-30,2024-07-30,2024-07-26,26,30,0,0,synthetic
PCL-384AB48E,PRJ-001,Compensation Assessment,5,2024-07-26,2024-09-04,2024-09-22,58,40,1,0,synthetic
PCL-384AB48E,PRJ-001,Compensation Disbursement,6,2024-09-22,2024-10-22,,344,30,1,1,synthetic
PCL-C5969CE4,PRJ-001,Land Identification,0,2024-02-22,2024-03-08,2024-03-20,27,15,1,0,synthetic
PCL-C5969CE4,PRJ-001,Survey/Parcel Mapping,1,2024-03-20,2024-04-19,2024-04-20,31,30,1,0,synthetic
PCL-C5969CE4,PRJ-001,Ownership Verification,2,2024-04-20,2024-06-04,2024-05-17,27,45,0,0,synthetic
PCL-C5969CE4,PRJ-001,Notification,3,2024-05-17,2024-06-06,2024-06-05,19,20,0,0,synthetic
PCL-C5969CE4,PRJ-001,Objections/Hearings,4,2024-06-05,2024-07-05,2024-07-16,41,30,1,0,synthetic
PCL-C5969CE4,PRJ-001,Compensation Assessment,5,2024-07-16,2024-08-25,,412,40,1,1,synthetic
PCL-68BC5B70,PRJ-001,Land Identification,0,2024-01-18,2024-02-02,2024-02-01,14,15,0,0,synthetic
PCL-68BC5B70,PRJ-001,Survey/Parcel Mapping,1,2024-02-01,2024-03-02,2024-02-20,19,30,0,0,synthetic
PCL-68BC5B70,PRJ-001,Ownership Verification,2,2024-02-20,2024-04-05,2024-03-19,28,45,0,0,synthetic
PCL-68BC5B70,PRJ-001,Notification,3,2024-03-19,2024-04-08,2024-04-04,16,20,0,0,synthetic
PCL-68BC5B70,PRJ-001,Objections/Hearings,4,2024-04-04,2024-05-04,,515,30,1,1,synthetic
PCL-6ABCDEAC,PRJ-001,Land Identification,0,2024-03-14,2024-03-29,2024-03-31,17,15,1,0,synthetic
PCL-6ABCDEAC,PRJ-001,Survey/Parcel Mapping,1,2024-03-31,2024-04-30,2024-05-13,43,30,1,0,synthetic
PCL-6ABCDEAC,PRJ-001,Ownership Verification,2,2024-05-13,2024-06-27,2024-05-29,16,45,0,0,synthetic
PCL-6ABCDEAC,PRJ-001,Notification,3,2024-05-29,2024-06-18,2024-06-15,17,20,0,0,synthetic
PCL-6ABCDEAC,PRJ-001,Objections/Hearings,4,2024-06-15,2024-07-15,2024-07-21,36,30,1,0,synthetic
PCL-6ABCDEAC,PRJ-001,Compensation Assessment,5,2024-07-21,2024-08-30,,407,40,1,1,synthetic
PCL-E099DF44,PRJ-001,Land Identification,0,2024-02-21,2024-03-07,2024-03-02,10,15,0,0,synthetic
PCL-E099DF44,PRJ-001,Survey/Parcel Mapping,1,2024-03-02,2024-04-01,2024-03-16,14,30,0,0,synthetic
PCL-E099DF44,PRJ-001,Ownership Verification,2,2024-03-16,2024-04-30,2024-04-30,45,45,0,0,synthetic
PCL-E099DF44,PRJ-001,Notification,3,2024-04-30,2024-05-20,2024-05-16,16,20,0,0,synthetic
PCL-E099DF44,PRJ-001,Objections/Hearings,4,2024-05-16,2024-06-15,2024-06-27,42,30,1,0,synthetic
PCL-E099DF44,PRJ-001,Compensation Assessment,5,2024-06-27,2024-08-06,2024-08-10,44,40,1,0,synthetic
PCL-E099DF44,PRJ-001,Compensation Disbursement,6,2024-08-10,2024-09-09,2024-09-15,36,30,1,0,synthetic
PCL-E099DF44,PRJ-001,Rehabilitation & Resettlement,7,2024-09-15,2024-11-14,2024-10-27,42,60,0,0,synthetic
PCL-E099DF44,PRJ-001,Possession,8,2024-10-27,2024-11-11,,309,15,1,1,synthetic
PCL-F5EC4A39,PRJ-001,Land Identification,0,2024-02-12,2024-02-27,2024-02-25,13,15,0,0,synthetic
PCL-F5EC4A39,PRJ-001,Survey/Parcel Mapping,1,2024-02-25,2024-03-26,2024-03-14,18,30,0,0,synthetic
PCL-F5EC4A39,PRJ-001,Ownership Verification,2,2024-03-14,2024-04-28,2024-04-27,44,45,0,0,synthetic
PCL-F5EC4A39,PRJ-001,Notification,3,2024-04-27,2024-05-17,2024-05-25,28,20,1,0,synthetic
PCL-F5EC4A39,PRJ-001,Objections/Hearings,4,2024-05-25,2024-06-24,2024-07-31,67,30,1,0,synthetic
PCL-F5EC4A39,PRJ-001,Compensation Assessment,5,2024-07-31,2024-09-09,2024-08-23,23,40,0,0,synthetic
PCL-F5EC4A39,PRJ-001,Compensation Disbursement,6,2024-08-23,2024-09-22,2024-09-21,29,30,0,0,synthetic
PCL-F5EC4A39,PRJ-001,Rehabilitation & Resettlement,7,2024-09-21,2024-11-20,2024-11-26,66,60,1,0,synthetic
PCL-F5EC4A39,PRJ-001,Possession,8,2024-11-26,2024-12-11,2024-12-11,15,15,0,0,synthetic
PCL-F5EC4A39,PRJ-001,Closure/Handover,9,2024-12-11,2024-12-21,,264,10,1,1,synthetic
PCL-CC675D42,PRJ-001,Land Identification,0,2024-03-23,2024-04-07,2024-04-14,22,15,1,0,synthetic
PCL-CC675D42,PRJ-001,Survey/Parcel Mapping,1,2024-04-14,2024-05-14,2024-05-18,34,30,1,0,synthetic
PCL-CC675D42,PRJ-001,Ownership Verification,2,2024-05-18,2024-07-02,2024-06-20,33,45,0,0,synthetic
PCL-CC675D42,PRJ-001,Notification,3,2024-06-20,2024-07-10,,438,20,1,1,synthetic
PCL-E6F86E02,PRJ-001,Land Identification,0,2024-03-30,2024-04-14,2024-04-21,22,15,1,0,synthetic
PCL-E6F86E02,PRJ-001,Survey/Parcel Mapping,1,2024-04-21,2024-05-21,2024-05-21,30,30,0,0,synthetic
PCL-E6F86E02,PRJ-001,Ownership Verification,2,2024-05-21,2024-07-05,2024-06-29,39,45,0,0,synthetic
PCL-E6F86E02,PRJ-001,Notification,3,2024-06-29,2024-07-19,2024-07-15,16,20,0,0,synthetic
PCL-E6F86E02,PRJ-001,Objections/Hearings,4,2024-07-15,2024-08-14,2024-09-03,50,30,1,0,synthetic
PCL-E6F86E02,PRJ-001,Compensation Assessment,5,2024-09-03,2024-10-13,2024-10-08,35,40,0,0,synthetic
PCL-E6F86E02,PRJ-001,Compensation Disbursement,6,2024-10-08,2024-11-07,2024-10-31,23,30,0,0,synthetic
PCL-E6F86E02,PRJ-001,Rehabilitation & Resettlement,7,2024-10-31,2024-12-30,,305,60,1,1,synthetic
PCL-F7865182,PRJ-001,Land Identification,0,2024-02-06,2024-02-21,2024-02-21,15,15,0,0,synthetic
PCL-F7865182,PRJ-001,Survey/Parcel Mapping,1,2024-02-21,2024-03-22,2024-03-21,29,30,0,0,synthetic
PCL-F7865182,PRJ-001,Ownership Verification,2,2024-03-21,2024-05-05,2024-05-16,56,45,1,0,synthetic
PCL-F7865182,PRJ-001,Notification,3,2024-05-16,2024-06-05,2024-06-08,23,20,1,0,synthetic
PCL-F7865182,PRJ-001,Objections/Hearings,4,2024-06-08,2024-07-08,2024-07-11,33,30,1,0,synthetic
PCL-F7865182,PRJ-001,Compensation Assessment,5,2024-07-11,2024-08-20,2024-09-02,53,40,1,0,synthetic
PCL-F7865182,PRJ-001,Compensation Disbursement,6,2024-09-02,2024-10-02,2024-10-04,32,30,1,0,synthetic
PCL-F7865182,PRJ-001,Rehabilitation & Resettlement,7,2024-10-04,2024-12-03,2024-11-22,49,60,0,0,synthetic
PCL-F7865182,PRJ-001,Possession,8,2024-11-22,2024-12-07,,283,15,1,1,synthetic
PCL-CDE105B5,PRJ-001,Land Identification,0,2024-01-08,2024-01-23,2024-01-20,12,15,0,0,synthetic
PCL-CDE105B5,PRJ-001,Survey/Parcel Mapping,1,2024-01-20,2024-02-19,2024-02-20,31,30,1,0,synthetic
PCL-CDE105B5,PRJ-001,Ownership Verification,2,2024-02-20,2024-04-05,2024-03-23,32,45,0,0,synthetic
PCL-CDE105B5,PRJ-001,Notification,3,2024-03-23,2024-04-12,,527,20,1,1,synthetic
PCL-59E5D5C5,PRJ-001,Land Identification,0,2024-03-02,2024-03-17,2024-03-17,15,15,0,0,synthetic
PCL-59E5D5C5,PRJ-001,Survey/Parcel Mapping,1,2024-03-17,2024-04-16,,533,30,1,1,synthetic
PCL-AF014EAC,PRJ-001,Land Identification,0,2024-01-27,2024-02-11,2024-02-06,10,15,0,0,synthetic
PCL-AF014EAC,PRJ-001,Survey/Parcel Mapping,1,2024-02-06,2024-03-07,,573,30,1,1,synthetic
PCL-AF28FC5A,PRJ-001,Land Identification,0,2024-03-20,2024-04-04,2024-04-12,23,15,1,0,synthetic
PCL-AF28FC5A,PRJ-001,Survey/Parcel Mapping,1,2024-04-12,2024-05-12,,507,30,1,1,synthetic
PCL-9370DE1B,PRJ-001,Land Identification,0,2024-01-21,2024-02-05,2024-02-05,15,15,0,0,synthetic
PCL-9370DE1B,PRJ-001,Survey/Parcel Mapping,1,2024-02-05,2024-03-06,2024-02-22,17,30,0,0,synthetic
PCL-9370DE1B,PRJ-001,Ownership Verification,2,2024-02-22,2024-04-07,2024-04-04,42,45,0,0,synthetic
PCL-9370DE1B,PRJ-001,Notification,3,2024-04-04,2024-04-24,2024-04-28,24,20,1,0,synthetic
PCL-9370DE1B,PRJ-001,Objections/Hearings,4,2024-04-28,2024-05-28,2024-06-08,41,30,1,0,synthetic
PCL-9370DE1B,PRJ-001,Compensation Assessment,5,2024-06-08,2024-07-18,2024-08-13,66,40,1,0,synthetic
PCL-9370DE1B,PRJ-001,Compensation Disbursement,6,2024-08-13,2024-09-12,2024-08-31,18,30,0,0,synthetic
PCL-9370DE1B,PRJ-001,Rehabilitation & Resettlement,7,2024-08-31,2024-10-30,,366,60,1,1,synthetic
PCL-F6606B58,PRJ-001,Land Identification,0,2024-03-29,2024-04-13,2024-04-16,18,15,1,0,synthetic
PCL-F6606B58,PRJ-001,Survey/Parcel Mapping,1,2024-04-16,2024-05-16,2024-05-05,19,30,0,0,synthetic
PCL-F6606B58,PRJ-001,Ownership Verification,2,2024-05-05,2024-06-19,2024-06-14,40,45,0,0,synthetic
PCL-F6606B58,PRJ-001,Notification,3,2024-06-14,2024-07-04,2024-07-01,17,20,0,0,synthetic
PCL-F6606B58,PRJ-001,Objections/Hearings,4,2024-07-01,2024-07-31,2024-07-23,22,30,0,0,synthetic
PCL-F6606B58,PRJ-001,Compensation Assessment,5,2024-07-23,2024-09-01,2024-09-13,52,40,1,0,synthetic
PCL-F6606B58,PRJ-001,Compensation Disbursement,6,2024-09-13,2024-10-13,,353,30,1,1,synthetic
PCL-FACB8308,PRJ-001,Land Identification,0,2024-01-22,2024-02-06,,588,15,1,1,synthetic
PCL-A1223E23,PRJ-001,Land Identification,0,2024-03-25,2024-04-09,,525,15,1,1,synthetic
PCL-98CAA5FA,PRJ-001,Land Identification,0,2024-03-13,2024-03-28,2024-03-22,9,15,0,0,synthetic
PCL-98CAA5FA,PRJ-001,Survey/Parcel Mapping,1,2024-03-22,2024-04-21,2024-04-25,34,30,1,0,synthetic
PCL-98CAA5FA,PRJ-001,Ownership Verification,2,2024-04-25,2024-06-09,2024-06-27,63,45,1,0,synthetic
PCL-98CAA5FA,PRJ-001,Notification,3,2024-06-27,2024-07-17,2024-07-22,25,20,1,0,synthetic
PCL-98CAA5FA,PRJ-001,Objections/Hearings,4,2024-07-22,2024-08-21,,406,30,1,1,synthetic
PCL-08E8E283,PRJ-001,Land Identification,0,2024-02-15,2024-03-01,2024-02-24,9,15,0,0,synthetic
PCL-08E8E283,PRJ-001,Survey/Parcel Mapping,1,2024-02-24,2024-03-25,2024-03-31,36,30,1,0,synthetic
PCL-08E8E283,PRJ-001,Ownership Verification,2,2024-03-31,2024-05-15,2024-06-29,90,45,1,0,synthetic
PCL-08E8E283,PRJ-001,Notification,3,2024-06-29,2024-07-19,2024-07-20,21,20,1,0,synthetic
PCL-08E8E283,PRJ-001,Objections/Hearings,4,2024-07-20,2024-08-19,2024-08-25,36,30,1,0,synthetic
PCL-08E8E283,PRJ-001,Compensation Assessment,5,2024-08-25,2024-10-04,2024-09-28,34,40,0,0,synthetic
PCL-08E8E283,PRJ-001,Compensation Disbursement,6,2024-09-28,2024-10-28,,338,30,1,1,synthetic
PCL-D863F07F,PRJ-001,Land Identification,0,2024-01-13,2024-01-28,2024-01-27,14,15,0,0,synthetic
PCL-D863F07F,PRJ-001,Survey/Parcel Mapping,1,2024-01-27,2024-02-26,2024-02-15,19,30,0,0,synthetic
PCL-D863F07F,PRJ-001,Ownership Verification,2,2024-02-15,2024-03-31,2024-04-16,61,45,1,0,synthetic
PCL-D863F07F,PRJ-001,Notification,3,2024-04-16,2024-05-06,2024-05-07,21,20,1,0,synthetic
PCL-D863F07F,PRJ-001,Objections/Hearings,4,2024-05-07,2024-06-06,2024-06-24,48,30,1,0,synthetic
PCL-D863F07F,PRJ-001,Compensation Assessment,5,2024-06-24,2024-08-03,2024-08-16,53,40,1,0,synthetic
PCL-D863F07F,PRJ-001,Compensation Disbursement,6,2024-08-16,2024-09-15,2024-09-14,29,30,0,0,synthetic
PCL-D863F07F,PRJ-001,Rehabilitation & Resettlement,7,2024-09-14,2024-11-13,2024-11-14,61,60,1,0,synthetic
PCL-D863F07F,PRJ-001,Possession,8,2024-11-14,2024-11-29,,291,15,1,1,synthetic
PCL-8437B3A1,PRJ-001,Land Identification,0,2024-03-07,2024-03-22,2024-03-23,16,15,1,0,synthetic
PCL-8437B3A1,PRJ-001,Survey/Parcel Mapping,1,2024-03-23,2024-04-22,2024-05-10,48,30,1,0,synthetic
PCL-8437B3A1,PRJ-001,Ownership Verification,2,2024-05-10,2024-06-24,2024-06-27,48,45,1,0,synthetic
PCL-8437B3A1,PRJ-001,Notification,3,2024-06-27,2024-07-17,2024-07-23,26,20,1,0,synthetic
PCL-8437B3A1,PRJ-001,Objections/Hearings,4,2024-07-23,2024-08-22,,405,30,1,1,synthetic
PCL-50D889F4,PRJ-001,Land Identification,0,2024-03-14,2024-03-29,2024-04-05,22,15,1,0,synthetic
PCL-50D889F4,PRJ-001,Survey/Parcel Mapping,1,2024-04-05,2024-05-05,2024-05-21,46,30,1,0,synthetic
PCL-50D889F4,PRJ-001,Ownership Verification,2,2024-05-21,2024-07-05,2024-07-20,60,45,1,0,synthetic
PCL-50D889F4,PRJ-001,Notification,3,2024-07-20,2024-08-09,2024-08-02,13,20,0,0,synthetic
PCL-50D889F4,PRJ-001,Objections/Hearings,4,2024-08-02,2024-09-01,2024-08-29,27,30,0,0,synthetic
PCL-50D889F4,PRJ-001,Compensation Assessment,5,2024-08-29,2024-10-08,2024-09-25,27,40,0,0,synthetic
PCL-50D889F4,PRJ-001,Compensation Disbursement,6,2024-09-25,2024-10-25,,341,30,1,1,synthetic
PCL-04A141FA,PRJ-001,Land Identification,0,2024-02-16,2024-03-02,2024-02-25,9,15,0,0,synthetic
PCL-04A141FA,PRJ-001,Survey/Parcel Mapping,1,2024-02-25,2024-03-26,2024-03-30,34,30,1,0,synthetic
PCL-04A141FA,PRJ-001,Ownership Verification,2,2024-03-30,2024-05-14,2024-05-10,41,45,0,0,synthetic
PCL-04A141FA,PRJ-001,Notification,3,2024-05-10,2024-05-30,2024-06-07,28,20,1,0,synthetic
PCL-04A141FA,PRJ-001,Objections/Hearings,4,2024-06-07,2024-07-07,2024-07-05,28,30,0,0,synthetic
PCL-04A141FA,PRJ-001,Compensation Assessment,5,2024-07-05,2024-08-14,2024-08-18,44,40,1,0,synthetic
PCL-04A141FA,PRJ-001,Compensation Disbursement,6,2024-08-18,2024-09-17,,379,30,1,1,synthetic
PCL-4BF22348,PRJ-001,Land Identification,0,2024-03-08,2024-03-23,2024-03-27,19,15,1,0,synthetic
PCL-4BF22348,PRJ-001,Survey/Parcel Mapping,1,2024-03-27,2024-04-26,2024-04-23,27,30,0,0,synthetic
PCL-4BF22348,PRJ-001,Ownership Verification,2,2024-04-23,2024-06-07,2024-06-15,53,45,1,0,synthetic
PCL-4BF22348,PRJ-001,Notification,3,2024-06-15,2024-07-05,2024-07-10,25,20,1,0,synthetic
PCL-4BF22348,PRJ-001,Objections/Hearings,4,2024-07-10,2024-08-09,,418,30,1,1,synthetic
PCL-85ED9B4E,PRJ-001,Land Identification,0,2024-01-05,2024-01-20,2024-01-15,10,15,0,0,synthetic
PCL-85ED9B4E,PRJ-001,Survey/Parcel Mapping,1,2024-01-15,2024-02-14,2024-02-14,30,30,0,0,synthetic
PCL-85ED9B4E,PRJ-001,Ownership Verification,2,2024-02-14,2024-03-30,2024-04-09,55,45,1,0,synthetic
PCL-85ED9B4E,PRJ-001,Notification,3,2024-04-09,2024-04-29,2024-04-25,16,20,0,0,synthetic
PCL-85ED9B4E,PRJ-001,Objections/Hearings,4,2024-04-25,2024-05-25,2024-05-24,29,30,0,0,synthetic
PCL-85ED9B4E,PRJ-001,Compensation Assessment,5,2024-05-24,2024-07-03,2024-07-12,49,40,1,0,synthetic
PCL-85ED9B4E,PRJ-001,Compensation Disbursement,6,2024-07-12,2024-08-11,2024-08-09,28,30,0,0,synthetic
PCL-85ED9B4E,PRJ-001,Rehabilitation & Resettlement,7,2024-08-09,2024-10-08,2024-09-29,51,60,0,0,synthetic
PCL-85ED9B4E,PRJ-001,Possession,8,2024-09-29,2024-10-14,,337,15,1,1,synthetic
PCL-268F1F65,PRJ-001,Land Identification,0,2024-02-05,2024-02-20,2024-02-20,15,15,0,0,synthetic
PCL-268F1F65,PRJ-001,Survey/Parcel Mapping,1,2024-02-20,2024-03-21,2024-04-02,42,30,1,0,synthetic
PCL-268F1F65,PRJ-001,Ownership Verification,2,2024-04-02,2024-05-17,2024-05-12,40,45,0,0,synthetic
PCL-268F1F65,PRJ-001,Notification,3,2024-05-12,2024-06-01,2024-05-29,17,20,0,0,synthetic
PCL-268F1F65,PRJ-001,Objections/Hearings,4,2024-05-29,2024-06-28,2024-06-30,32,30,1,0,synthetic
PCL-268F1F65,PRJ-001,Compensation Assessment,5,2024-06-30,2024-08-09,2024-08-07,38,40,0,0,synthetic
PCL-268F1F65,PRJ-001,Compensation Disbursement,6,2024-08-07,2024-09-06,2024-08-23,16,30,0,0,synthetic
PCL-268F1F65,PRJ-001,Rehabilitation & Resettlement,7,2024-08-23,2024-10-22,2024-11-18,87,60,1,0,synthetic
PCL-268F1F65,PRJ-001,Possession,8,2024-11-18,2024-12-03,2024-12-03,15,15,0,0,synthetic
PCL-268F1F65,PRJ-001,Closure/Handover,9,2024-12-03,2024-12-13,,272,10,1,1,synthetic
PCL-D86AFB9C,PRJ-001,Land Identification,0,2024-01-17,2024-02-01,2024-01-27,10,15,0,0,synthetic
PCL-D86AFB9C,PRJ-001,Survey/Parcel Mapping,1,2024-01-27,2024-02-26,,583,30,1,1,synthetic
PCL-FEAFDC05,PRJ-001,Land Identification,0,2024-03-28,2024-04-12,2024-04-06,9,15,0,0,synthetic
