project_id,snapshot_date,pending_parcels,completed_parcels,average_stage_days,sla_breaches,compensation_pending,rr_pending,possession_pending,processing_rate,data_source
PRJ-001,2024-06-01,26,23,38.1,10,6,9,3,0.17,synthetic
PRJ-001,2024-06-16,23,26,79.8,11,15,7,4,0.169,synthetic
PRJ-001,2024-07-01,20,29,35.3,10,13,6,4,0.202,synthetic
PRJ-001,2024-07-16,17,32,36.3,4,7,4,2,0.191,synthetic
PRJ-001,2024-07-31,14,35,78.7,3,7,4,2,0.204,synthetic
PRJ-001,2024-08-15,12,37,60.0,6,5,4,3,0.23,synthetic
PRJ-001,2024-08-30,9,40,67.4,2,3,3,1,0.235,synthetic
PRJ-001,2024-09-14,7,42,59.3,3,2,2,1,0.207,synthetic
PRJ-001,2024-09-29,4,45,76.5,1,2,0,1,0.184,synthetic
PRJ-001,2024-10-14,2,47,28.4,1,0,0,0,0.167,synthetic
PRJ-001,2024-10-29,2,47,82.3,0,1,0,0,0.19,synthetic
PRJ-001,2024-11-13,2,47,53.3,0,0,0,0,0.213,synthetic
PRJ-001,2024-11-28,2,47,37.8,0,1,0,0,0.225,synthetic
PRJ-001,2024-12-13,2,47,47.9,0,1,0,0,0.225,synthetic
PRJ-001,2024-12-28,2,47,26.3,0,0,0,0,0.256,synthetic
PRJ-001,2025-01-12,2,47,49.7,1,1,0,0,0.266,synthetic
PRJ-001,2025-01-27,2,47,47.7,0,0,0,0,0.252,synthetic
PRJ-001,2025-02-11,2,47,73.9,0,0,0,0,0.262,synthetic
PRJ-001,2025-02-26,2,47,25.3,0,0,0,0,0.242,synthetic
PRJ-001,2025-03-13,2,47,39.3,0,0,0,0,0.24,synthetic
PRJ-001,2025-03-28,2,47,19.7,0,0,0,0,0.224,synthetic
PRJ-001,2025-04-12,2,47,40.6,0,0,0,0,0.203,synthetic
PRJ-001,2025-04-27,2,47,82.3,0,0,0,0,0.236,synthetic
PRJ-001,2025-05-12,2,47,30.2,1,0,0,0,0.247,synthetic
PRJ-001,2025-05-27,2,47,88.1,0,0,0,0,0.268,synthetic
PRJ-001,2025-06-11,2,47,32.0,0,0,0,0,0.271,synthetic
PRJ-001,2025-06-26,2,47,45.3,0,0,0,0,0.273,synthetic
PRJ-001,2025-07-11,2,47,42.0,0,0,0,0,0.275,synthetic
PRJ-001,2025-07-26,2,47,15.2,0,1,0,0,0.268,synthetic
PRJ-001,2025-08-10,2,47,53.2,0,0,0,0,0.256,synthetic
PRJ-001,2025-08-25,2,47,69.8,0,0,0,0,0.26,synthetic
PRJ-003,2024-06-01,54,29,34.7,21,34,21,5,0.097,synthetic
PRJ-003,2024-06-16,55,28,78.3,23,21,10,6,0.097,synthetic
PRJ-003,2024-07-01,56,27,71.4,30,31,20,5,0.103,synthetic
PRJ-003,2024-07-16,58,25,81.6,7,25,15,8,0.112,synthetic
PRJ-003,2024-07-31,60,23,88.4,26,39,8,11,0.107,synthetic
PRJ-003,2024-08-15,63,20,35.4,26,40,20,13,0.115,synthetic
PRJ-003,2024-08-30,63,20,61.2,28,14,6,10,0.14,synthetic
PRJ-003,2024-09-14,63,20,79.7,15,22,22,11,0.166,synthetic
PRJ-003,2024-09-29,66,17,40.2,6,32,13,12,0.167,synthetic
PRJ-003,2024-10-14,68,15,51.9,34,25,11,14,0.141,synthetic
PRJ-003,2024-10-29,69,14,43.8,32,34,22,13,0.138,synthetic
PRJ-003,2024-11-13,71,12,71.3,29,14,14,13,0.108,synthetic
PRJ-003,2024-11-28,71,12,65.7,7,31,7,11,0.099,synthetic
PRJ-003,2024-12-13,70,13,86.2,40,26,8,8,0.095,synthetic
PRJ-003,2024-12-28,69,14,31.9,10,13,10,15,0.084,synthetic
PRJ-003,2025-01-12,71,12,49.1,32,21,11,20,0.063,synthetic
PRJ-003,2025-01-27,72,11,88.4,38,45,18,8,0.08,synthetic
PRJ-003,2025-02-11,74,9,48.0,26,18,14,9,0.082,synthetic
PRJ-003,2025-02-26,75,8,55.6,21,25,24,8,0.095,synthetic
PRJ-003,2025-03-13,75,8,37.5,36,32,28,15,0.113,synthetic
PRJ-003,2025-03-28,76,7,87.2,17,25,30,20,0.133,synthetic
PRJ-003,2025-04-12,78,5,46.4,12,44,30,20,0.119,synthetic
PRJ-003,2025-04-27,78,5,20.2,15,45,21,21,0.149,synthetic
PRJ-003,2025-05-12,77,6,71.9,25,45,18,15,0.162,synthetic
PRJ-003,2025-05-27,76,7,81.4,42,37,20,16,0.176,synthetic
PRJ-003,2025-06-11,76,7,25.6,11,40,17,17,0.202,synthetic
PRJ-003,2025-06-26,78,5,31.9,41,50,12,11,0.225,synthetic
PRJ-003,2025-07-11,79,4,87.6,32,27,27,20,0.193,synthetic
PRJ-003,2025-07-26,77,6,60.0,39,41,9,8,0.168,synthetic
PRJ-003,2025-08-10,77,6,22.7,16,45,30,21,0.188,synthetic
PRJ-003,2025-08-25,78,5,41.5,26,34,16,12,0.175,synthetic
PRJ-005,2024-06-01,46,6,87.2,14,18,10,10,0.01,synthetic
PRJ-005,2024-06-16,46,6,29.1,21,15,9,13,0.023,synthetic
PRJ-005,2024-07-01,48,4,32.5,17,14,17,5,0.036,synthetic
PRJ-005,2024-07-16,49,3,84.2,24,14,13,12,0.051,synthetic
PRJ-005,2024-07-31,50,2,39.0,24,10,13,11,0.052,synthetic
PRJ-005,2024-08-15,50,2,80.8,29,13,19,9,0.03,synthetic
PRJ-005,2024-08-30,50,2,57.4,19,22,9,8,0.084,synthetic
PRJ-005,2024-09-14,50,2,77.4,14,33,13,7,0.09,synthetic
PRJ-005,2024-09-29,50,2,57.0,17,11,16,7,0.059,synthetic
PRJ-005,2024-10-14,50,2,56.3,18,25,7,14,0.056,synthetic
PRJ-005,2024-10-29,50,2,23.8,5,34,7,7,0.093,synthetic
PRJ-005,2024-11-13,50,2,68.1,23,34,6,12,0.064,synthetic
PRJ-005,2024-11-28,50,2,84.6,14,13,8,14,0.011,synthetic
PRJ-005,2024-12-13,50,2,86.3,11,26,19,7,0.023,synthetic
PRJ-005,2024-12-28,50,2,66.9,23,21,5,14,0.084,synthetic
PRJ-005,2025-01-12,50,2,34.2,17,32,6,6,0.116,synthetic
PRJ-005,2025-01-27,50,2,88.0,23,31,5,12,0.124,synthetic
PRJ-005,2025-02-11,50,2,47.1,12,28,7,7,0.115,synthetic
PRJ-005,2025-02-26,50,2,44.4,9,30,9,10,0.125,synthetic
PRJ-005,2025-03-13,50,2,58.9,10,12,10,14,0.193,synthetic
PRJ-005,2025-03-28,50,2,30.2,5,12,14,10,0.16,synthetic
PRJ-005,2025-04-12,50,2,80.7,19,11,6,7,0.159,synthetic
PRJ-005,2025-04-27,50,2,21.9,11,13,13,13,0.159,synthetic
PRJ-005,2025-05-12,50,2,38.3,22,34,10,5,0.191,synthetic
PRJ-005,2025-05-27,50,2,31.5,5,18,10,6,0.207,synthetic
PRJ-005,2025-06-11,50,2,87.0,27,17,6,8,0.198,synthetic
PRJ-005,2025-06-26,50,2,16.3,9,21,13,9,0.164,synthetic
PRJ-005,2025-07-11,50,2,89.5,15,30,8,5,0.179,synthetic
PRJ-005,2025-07-26,50,2,51.8,9,20,13,6,0.184,synthetic
PRJ-005,2025-08-10,50,2,18.4,24,16,8,5,0.197,synthetic
PRJ-005,2025-08-25,50,2,84.7,13,10,19,9,0.173,synthetic
PRJ-007,2024-06-01,21,11,60.1,9,10,7,4,0.089,synthetic
PRJ-007,2024-06-16,21,11,84.6,6,5,7,4,0.08,synthetic
PRJ-007,2024-07-01,21,11,40.6,8,13,7,5,0.077,synthetic
PRJ-007,2024-07-16,23,9,19.5,6,8,7,4,0.055,synthetic
PRJ-007,2024-07-31,23,9,32.0,10,8,8,3,0.01,synthetic
PRJ-007,2024-08-15,23,9,48.9,4,7,3,4,0.01,synthetic
PRJ-007,2024-08-30,23,9,89.7,5,6,3,3,0.01,synthetic
PRJ-007,2024-09-14,24,8,26.4,8,5,5,4,0.029,synthetic
PRJ-007,2024-09-29,25,7,23.8,3,11,8,3,0.026,synthetic
PRJ-007,2024-10-14,25,7,35.6,14,10,9,2,0.01,synthetic
PRJ-007,2024-10-29,26,6,81.2,7,11,8,3,0.016,synthetic
PRJ-007,2024-11-13,26,6,52.9,3,9,8,4,0.01,synthetic
PRJ-007,2024-11-28,27,5,80.5,7,9,4,5,0.03,synthetic
PRJ-007,2024-12-13,26,6,49.2,6,14,3,7,0.021,synthetic
PRJ-007,2024-12-28,26,6,57.5,13,7,6,5,0.01,synthetic
PRJ-007,2025-01-12,26,6,50.0,10,16,7,7,0.01,synthetic
PRJ-007,2025-01-27,26,6,44.9,8,8,4,6,0.037,synthetic
PRJ-007,2025-02-11,28,4,17.3,10,10,4,4,0.018,synthetic
PRJ-007,2025-02-26,27,5,45.9,15,5,3,7,0.014,synthetic
PRJ-007,2025-03-13,28,4,89.1,15,10,5,7,0.01,synthetic
PRJ-007,2025-03-28,29,3,32.4,5,16,9,7,0.036,synthetic
PRJ-007,2025-04-12,29,3,86.2,5,8,3,3,0.01,synthetic
PRJ-007,2025-04-27,30,2,42.5,9,16,7,8,0.01,synthetic
PRJ-007,2025-05-12,30,2,47.7,9,19,9,7,0.01,synthetic
PRJ-007,2025-05-27,29,3,34.5,3,8,9,8,0.01,synthetic
PRJ-007,2025-06-11,30,2,40.0,17,19,4,4,0.025,synthetic
PRJ-007,2025-06-26,30,2,76.2,3,17,6,6,0.01,synthetic
PRJ-007,2025-07-11,29,3,15.5,12,19,10,5,0.022,synthetic
PRJ-007,2025-07-26,30,2,53.4,4,19,9,7,0.047,synthetic
PRJ-007,2025-08-10,30,2,40.9,7,6,8,7,0.033,synthetic
PRJ-007,2025-08-25,31,1,59.0,15,19,3,8,0.01,synthetic
PRJ-009,2024-06-01,59,9,30.8,18,29,9,14,0.123,synthetic
PRJ-009,2024-06-16,61,7,69.5,23,33,16,6,0.086,synthetic
PRJ-009,2024-07-01,64,4,24.3,31,40,22,14,0.053,synthetic
PRJ-009,2024-07-16,65,3,65.9,21,33,22,15,0.057,synthetic
PRJ-009,2024-07-31,66,2,34.3,11,39,17,6,0.059,synthetic
PRJ-009,2024-08-15,66,2,87.9,29,40,19,14,0.01,synthetic
PRJ-009,2024-08-30,66,2,43.7,34,42,15,11,0.032,synthetic
PRJ-009,2024-09-14,66,2,30.5,20,45,8,13,0.092,synthetic
PRJ-009,2024-09-29,66,2,19.7,7,29,24,16,0.092,synthetic
PRJ-009,2024-10-14,66,2,31.4,13,36,22,8,0.142,synthetic
PRJ-009,2024-10-29,66,2,75.9,24,38,10,8,0.145,synthetic
PRJ-009,2024-11-13,66,2,48.1,38,30,25,8,0.14,synthetic
PRJ-009,2024-11-28,66,2,24.5,19,37,8,11,0.185,synthetic
PRJ-009,2024-12-13,66,2,50.4,37,31,9,12,0.232,synthetic
PRJ-009,2024-12-28,66,2,50.1,7,43,7,15,0.209,synthetic
PRJ-009,2025-01-12,66,2,25.8,19,32,19,9,0.253,synthetic
PRJ-009,2025-01-27,66,2,74.6,28,28,14,13,0.248,synthetic
PRJ-009,2025-02-11,66,2,53.4,37,29,8,9,0.232,synthetic
PRJ-009,2025-02-26,66,2,78.7,10,40,19,15,0.237,synthetic
PRJ-009,2025-03-13,66,2,44.2,28,13,13,9,0.246,synthetic
PRJ-009,2025-03-28,66,2,29.5,26,17,20,19,0.247,synthetic
PRJ-009,2025-04-12,66,2,51.3,21,39,20,11,0.22,synthetic
PRJ-009,2025-04-27,66,2,57.8,32,19,10,12,0.273,synthetic
PRJ-009,2025-05-12,66,2,22.3,17,45,11,18,0.281,synthetic
PRJ-009,2025-05-27,66,2,78.3,23,43,18,11,0.297,synthetic
PRJ-009,2025-06-11,66,2,29.2,23,29,11,9,0.298,synthetic
PRJ-009,2025-06-26,66,2,88.9,20,36,23,18,0.34,synthetic
PRJ-009,2025-07-11,66,2,61.2,23,20,24,13,0.32,synthetic
PRJ-009,2025-07-26,66,2,78.9,7,28,13,9,0.318,synthetic
PRJ-009,2025-08-10,66,2,78.3,34,22,13,18,0.299,synthetic
PRJ-009,2025-08-25,66,2,26.9,10,26,16,16,0.355,synthetic
PRJ-011,2024-06-01,30,9,15.7,5,17,4,8,0.092,synthetic
PRJ-011,2024-06-16,31,8,33.5,7,8,9,7,0.095,synthetic
