family_id,parcel_id,project_id,affected,displaced,rr_eligibility,rr_status,benefit_type,benefit_status,data_source
FAM-PCL-16B80E95-0,PCL-16B80E95,PRJ-001,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-6172EB1D-0,PCL-6172EB1D,PRJ-001,True,True,eligible,pending,cash,disbursed,synthetic
FAM-PCL-6172EB1D-1,PCL-6172EB1D,PRJ-001,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-6172EB1D-2,PCL-6172EB1D,PRJ-001,True,True,eligible,completed,cash,pending,synthetic
FAM-PCL-2545E1FA-0,PCL-2545E1FA,PRJ-001,True,False,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-E099DF44-0,PCL-E099DF44,PRJ-001,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-E099DF44-1,PCL-E099DF44,PRJ-001,True,False,eligible,in_progress,housing,pending,synthetic
FAM-PCL-F5EC4A39-0,PCL-F5EC4A39,PRJ-001,True,False,eligible,in_progress,livelihood_support,pending,synthetic
FAM-PCL-F5EC4A39-1,PCL-F5EC4A39,PRJ-001,True,True,eligible,in_progress,livelihood_support,pending,synthetic
FAM-PCL-F5EC4A39-2,PCL-F5EC4A39,PRJ-001,True,False,eligible,pending,housing,pending,synthetic
FAM-PCL-E6F86E02-0,PCL-E6F86E02,PRJ-001,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-E6F86E02-1,PCL-E6F86E02,PRJ-001,True,False,eligible,pending,cash,pending,synthetic
FAM-PCL-E6F86E02-2,PCL-E6F86E02,PRJ-001,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-F7865182-0,PCL-F7865182,PRJ-001,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-F7865182-1,PCL-F7865182,PRJ-001,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-9370DE1B-0,PCL-9370DE1B,PRJ-001,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-9370DE1B-1,PCL-9370DE1B,PRJ-001,True,True,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-9370DE1B-2,PCL-9370DE1B,PRJ-001,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-D863F07F-0,PCL-D863F07F,PRJ-001,True,False,eligible,in_progress,livelihood_support,pending,synthetic
